Team_Number,League,player,team,team_strength,team_std_dev,position_role,price,PPM,std_dev_PPM,final_PPM,final_seasonal_points
4,ENG-Premier League,Christian Walton,Ipswich Town,108.51,16.29,GK,4.0,0.215,2.887,0.724,27.5
4,ENG-Premier League,Mads Hermansen,Leicester City,128.93,16.29,GK,13.6,7.222,2.887,3.803,144.5
4,ENG-Premier League,Craig Dawson,Wolves,134.8,16.29,DF,10.2,5.499,3.01,1.908,72.5
4,ENG-Premier League,Jurriën Timber,Arsenal,146.34,16.29,DF,4.0,0.1,3.01,7.276,276.5
4,ENG-Premier League,Mats Wieffer,Brighton,131.37,16.29,DF,9.8,6.107,3.01,5.079,193.0
4,ENG-Premier League,Morato,Nott'ham Forest,140.62,16.29,DF,9.2,3.841,3.01,2.395,91.0
4,ENG-Premier League,Tosin Adarabioyo,Chelsea,133.74,16.29,DF,13.6,5.344,3.01,4.053,154.0
4,ENG-Premier League,Vitaliy Mykolenko,Everton,130.74,16.29,DF,17.5,9.008,3.01,9.947,378.0
4,ENG-Premier League,Bruno Fernandes,Manchester Utd,135.67,16.29,MF,24.0,19.591,3.8,18.684,710.0
4,ENG-Premier League,Idrissa Gana Gueye,Everton,130.74,16.29,MF,14.3,8.428,3.8,10.355,393.5
4,ENG-Premier League,Kalvin Phillips,Ipswich Town,108.51,16.29,MF,4.0,0.465,3.8,3.289,125.0
4,ENG-Premier League,Matt O'Riley,Brighton,131.37,16.29,MF,19.0,19.648,3.8,5.316,202.0
4,ENG-Premier League,Rodrigo Bentancur,Tottenham,140.64,16.29,MF,14.3,3.9,3.8,5.592,212.5
4,ENG-Premier League,Ryan Yates,Nott'ham Forest,140.62,16.29,MF,18.1,7.198,3.8,5.921,225.0
4,ENG-Premier League,Bukayo Saka,Arsenal,146.34,16.29,FW,25.0,22.437,4.814,11.803,448.5
4,ENG-Premier League,Raúl Jiménez,Fulham,140.45,16.29,FW,12.6,6.65,4.814,14.303,543.5
4,ENG-Premier League,Sammie Szmodics,Ipswich Town,108.51,16.29,FW,19.7,17.243,4.814,4.947,188.0
4,ENG-Premier League,Wilson Odobert,Tottenham,140.64,16.29,FW,16.1,10.069,4.814,3.039,115.5
5,ENG-Premier League,José Sá,Wolves,134.8,16.29,GK,14.5,6.618,2.887,5.75,218.5
5,ENG-Premier League,Mads Hermansen,Leicester City,128.93,16.29,GK,13.6,7.222,2.887,3.803,144.5
5,ENG-Premier League,Ashley Young,Everton,130.74,16.29,DF,8.1,7.336,3.01,6.829,259.5
5,ENG-Premier League,Dan Burn,Newcastle Utd,147.38,16.29,DF,15.0,8.621,3.01,6.947,264.0
5,ENG-Premier League,Issa Diop,Fulham,140.45,16.29,DF,9.6,2.775,3.01,3.039,115.5
5,ENG-Premier League,Morato,Nott'ham Forest,140.62,16.29,DF,9.2,3.841,3.01,2.395,91.0
5,ENG-Premier League,Virgil van Dijk,Liverpool,164.58,16.29,DF,17.2,9.561,3.01,9.395,357.0
5,ENG-Premier League,Vitaliy Mykolenko,Everton,130.74,16.29,DF,17.5,9.008,3.01,9.947,378.0
5,ENG-Premier League,Alejandro Garnacho,Manchester Utd,135.67,16.29,MF,21.4,13.36,3.8,11.566,439.5
5,ENG-Premier League,Lesley Ugochukwu,Southampton,119.78,16.29,MF,4.0,0.736,3.8,4.421,168.0
5,ENG-Premier League,Manuel Ugarte Ribeiro,Manchester Utd,135.67,16.29,MF,16.2,5.771,3.8,6.816,259.0
5,ENG-Premier League,Matt O'Riley,Brighton,131.37,16.29,MF,19.0,19.648,3.8,5.316,202.0
5,ENG-Premier League,Sandro Tonali,Newcastle Utd,147.38,16.29,MF,4.0,1.588,3.8,10.066,382.5
5,ENG-Premier League,Tyler Adams,Bournemouth,139.26,16.29,MF,4.0,0.525,3.8,6.211,236.0
5,ENG-Premier League,Erling Haaland,Manchester City,138.66,16.29,FW,25.0,21.774,4.814,17.316,658.0
5,ENG-Premier League,Kevin Schade,Brentford,143.34,16.29,FW,4.0,1.888,4.814,12.197,463.5
5,ENG-Premier League,Mohamed Salah,Liverpool,164.58,16.29,FW,24.7,18.983,4.814,27.289,1037.0
5,ENG-Premier League,Mohammed Kudus,West Ham,128.49,16.29,FW,23.0,14.244,4.814,10.776,409.5
6,ENG-Premier League,Ederson,Manchester City,138.66,16.29,GK,17.1,7.101,2.887,6.605,251.0
6,ENG-Premier League,Emiliano Martínez,Aston Villa,127.89,16.29,GK,14.4,6.728,2.887,7.316,278.0
6,ENG-Premier League,Aaron Wan-Bissaka,West Ham,128.49,16.29,DF,10.9,3.968,3.01,11.974,455.0
6,ENG-Premier League,Ethan Pinnock,Brentford,143.34,16.29,DF,15.1,8.096,3.01,5.671,215.5
6,ENG-Premier League,Ian Maatsen,Aston Villa,127.89,16.29,DF,9.4,3.722,3.01,5.434,206.5
6,ENG-Premier League,Noussair Mazraoui,Manchester Utd,135.67,16.29,DF,8.1,2.988,3.01,9.132,347.0
6,ENG-Premier League,Tyrone Mings,Aston Villa,127.89,16.29,DF,4.0,0.175,3.01,2.447,93.0
6,ENG-Premier League,Yukinari Sugawara,Southampton,119.78,16.29,DF,11.3,8.073,3.01,5.632,214.0
6,ENG-Premier League,Bruno Guimarães,Newcastle Utd,147.38,16.29,MF,22.5,15.474,3.8,12.658,481.0
6,ENG-Premier League,Joe Willock,Newcastle Utd,147.38,16.29,MF,4.0,1.875,3.8,4.079,155.0
6,ENG-Premier League,Kobbie Mainoo,Manchester Utd,135.67,16.29,MF,11.4,6.512,3.8,4.645,176.5
6,ENG-Premier League,Matt O'Riley,Brighton,131.37,16.29,MF,19.0,19.648,3.8,5.316,202.0
6,ENG-Premier League,Mikel Merino,Arsenal,146.34,16.29,MF,23.8,11.06,3.8,8.303,315.5
6,ENG-Premier League,Tim Iroegbunam,Everton,130.74,16.29,MF,4.0,0.571,3.8,2.382,90.5
6,ENG-Premier League,Bukayo Saka,Arsenal,146.34,16.29,FW,25.0,22.437,4.814,11.803,448.5
6,ENG-Premier League,Ethan Nwaneri,Arsenal,146.34,16.29,FW,4.0,0.038,4.814,5.776,219.5
6,ENG-Premier League,Jordan Ayew,Leicester City,128.93,16.29,FW,19.7,10.732,4.814,7.737,294.0
6,ENG-Premier League,Sammie Szmodics,Ipswich Town,108.51,16.29,FW,19.7,17.243,4.814,4.947,188.0
7,ENG-Premier League,Alphonse Areola,West Ham,128.49,16.29,GK,16.1,7.06,2.887,4.632,176.0
7,ENG-Premier League,José Sá,Wolves,134.8,16.29,GK,14.5,6.618,2.887,5.75,218.5
7,ENG-Premier League,Kyle Walker,Manchester City,138.66,16.29,DF,14.2,7.847,3.01,2.211,84.0
7,ENG-Premier League,Leif Davis,Ipswich Town,108.51,16.29,DF,16.4,12.965,3.01,9.013,342.5
7,ENG-Premier League,Mads Roerslev,Brentford,143.34,16.29,DF,14.6,7.737,3.01,3.224,122.5
7,ENG-Premier League,Marc Guéhi,Crystal Palace,138.72,16.29,DF,12.4,4.587,3.01,8.645,328.5
7,ENG-Premier League,Taylor Harwood-Bellis,Southampton,119.78,16.29,DF,14.4,6.355,3.01,6.289,239.0
7,ENG-Premier League,Virgil van Dijk,Liverpool,164.58,16.29,DF,17.2,9.561,3.01,9.395,357.0
7,ENG-Premier League,Ibrahim Sangaré,Nott'ham Forest,140.62,16.29,MF,11.6,2.838,3.8,1.947,74.0
7,ENG-Premier League,Joe Willock,Newcastle Utd,147.38,16.29,MF,4.0,1.875,3.8,4.079,155.0
7,ENG-Premier League,Julio Enciso,Ipswich Town,108.51,16.29,MF,6.7,1.782,3.8,4.816,183.0
7,ENG-Premier League,Matt O'Riley,Brighton,131.37,16.29,MF,19.0,19.648,3.8,5.316,202.0
7,ENG-Premier League,Phil Foden,Manchester City,138.66,16.29,MF,25.0,20.751,3.8,9.934,377.5
7,ENG-Premier League,Roméo Lavia,Chelsea,133.74,16.29,MF,4.0,0.038,3.8,2.513,95.5
7,ENG-Premier League,Adam Armstrong,Southampton,119.78,16.29,FW,20.7,15.86,4.814,3.763,143.0
7,ENG-Premier League,Ethan Nwaneri,Arsenal,146.34,16.29,FW,4.0,0.038,4.814,5.776,219.5
7,ENG-Premier League,Jacob Ramsey,Aston Villa,127.89,16.29,FW,13.4,2.988,4.814,5.329,202.5
7,ENG-Premier League,Sammie Szmodics,Ipswich Town,108.51,16.29,FW,19.7,17.243,4.814,4.947,188.0
8,ENG-Premier League,Aaron Ramsdale,Southampton,119.78,16.29,GK,4.4,0.619,2.887,5.184,197.0
8,ENG-Premier League,Martin Dúbravka,Newcastle Utd,147.38,16.29,GK,13.1,4.932,2.887,2.776,105.5
8,ENG-Premier League,Ian Maatsen,Aston Villa,127.89,16.29,DF,9.4,3.722,3.01,5.434,206.5
8,ENG-Premier League,Kristoffer Ajer,Brentford,143.34,16.29,DF,14.4,6.231,3.01,3.816,145.0
8,ENG-Premier League,Kyle Walker-Peters,Southampton,119.78,16.29,DF,17.2,9.35,3.01,7.75,294.5
8,ENG-Premier League,Mads Roerslev,Brentford,143.34,16.29,DF,14.6,7.737,3.01,3.224,122.5
8,ENG-Premier League,Mats Wieffer,Brighton,131.37,16.29,DF,9.8,6.107,3.01,5.079,193.0
8,ENG-Premier League,Micky van de Ven,Tottenham,140.64,16.29,DF,16.3,7.585,3.01,2.434,92.5
8,ENG-Premier League,Brajan Gruda,Brighton,131.37,16.29,MF,15.1,8.941,3.8,4.132,157.0
8,ENG-Premier League,Cole Palmer,Chelsea,133.74,16.29,MF,25.0,22.727,3.8,20.882,793.5
8,ENG-Premier League,Conor Chaplin,Ipswich Town,108.51,16.29,MF,18.1,13.029,3.8,3.237,123.0
8,ENG-Premier League,Joe Willock,Newcastle Utd,147.38,16.29,MF,4.0,1.875,3.8,4.079,155.0
8,ENG-Premier League,Matheus Cunha,Wolves,134.8,16.29,MF,22.6,14.286,3.8,18.487,702.5
8,ENG-Premier League,Phil Foden,Manchester City,138.66,16.29,MF,25.0,20.751,3.8,9.934,377.5
8,ENG-Premier League,Jamie Vardy,Leicester City,128.93,16.29,FW,12.5,8.866,4.814,10.724,407.5
8,ENG-Premier League,Jesper Lindstrøm,Everton,130.74,16.29,FW,4.0,1.718,4.814,5.868,223.0
8,ENG-Premier League,Kevin Schade,Brentford,143.34,16.29,FW,4.0,1.888,4.814,12.197,463.5
8,ENG-Premier League,Yankuba Minteh,Brighton,131.37,16.29,FW,10.8,6.732,4.814,10.053,382.0
9,ENG-Premier League,Bernd Leno,Fulham,140.45,16.29,GK,15.8,8.193,2.887,6.737,256.0
9,ENG-Premier League,Guglielmo Vicario,Tottenham,140.64,16.29,GK,13.9,6.853,2.887,4.026,153.0
9,ENG-Premier League,Ashley Young,Everton,130.74,16.29,DF,8.1,7.336,3.01,6.829,259.5
9,ENG-Premier League,Ezri Konsa,Aston Villa,127.89,16.29,DF,17.3,8.994,3.01,7.724,293.5
9,ENG-Premier League,Jurriën Timber,Arsenal,146.34,16.29,DF,4.0,0.1,3.01,7.276,276.5
9,ENG-Premier League,Keane Lewis-Potter,Brentford,143.34,16.29,DF,17.4,7.226,3.01,9.487,360.5
9,ENG-Premier League,Kieran Trippier,Newcastle Utd,147.38,16.29,DF,15.4,10.721,3.01,5.224,198.5
9,ENG-Premier League,Tyrone Mings,Aston Villa,127.89,16.29,DF,4.0,0.175,3.01,2.447,93.0
9,ENG-Premier League,Cole Palmer,Chelsea,133.74,16.29,MF,25.0,22.727,3.8,20.882,793.5
9,ENG-Premier League,James Ward-Prowse,West Ham,128.49,16.29,MF,23.2,16.123,3.8,4.092,155.5
9,ENG-Premier League,Joe Willock,Newcastle Utd,147.38,16.29,MF,4.0,1.875,3.8,4.079,155.0
9,ENG-Premier League,Jorginho,Arsenal,146.34,16.29,MF,12.4,3.15,3.8,1.526,58.0
9,ENG-Premier League,Tim Iroegbunam,Everton,130.74,16.29,MF,4.0,0.571,3.8,2.382,90.5
9,ENG-Premier League,İlkay Gündoğan,Manchester City,138.66,16.29,MF,18.8,12.159,3.8,7.842,298.0
9,ENG-Premier League,Adam Armstrong,Southampton,119.78,16.29,FW,20.7,15.86,4.814,3.763,143.0
9,ENG-Premier League,Crysencio Summerville,West Ham,128.49,16.29,FW,21.5,17.177,4.814,3.132,119.0
9,ENG-Premier League,Facundo Buonanotte,Leicester City,128.93,16.29,FW,9.4,4.24,4.814,7.803,296.5
9,ENG-Premier League,George Hirst,Ipswich Town,108.51,16.29,FW,15.0,5.825,4.814,3.474,132.0
10,ENG-Premier League,Arijanet Muric,Ipswich Town,108.51,16.29,GK,8.9,2.545,2.887,2.658,101.0
10,ENG-Premier League,Jordan Pickford,Everton,130.74,16.29,GK,16.9,8.175,2.887,9.645,366.5
10,ENG-Premier League,Ashley Young,Everton,130.74,16.29,DF,8.1,7.336,3.01,6.829,259.5
10,ENG-Premier League,Ben Johnson,Ipswich Town,108.51,16.29,DF,7.1,1.561,3.01,4.368,166.0
10,ENG-Premier League,Emerson Palmieri,West Ham,128.49,16.29,DF,20.3,11.039,3.01,7.697,292.5
10,ENG-Premier League,Kieran Trippier,Newcastle Utd,147.38,16.29,DF,15.4,10.721,3.01,5.224,198.5
10,ENG-Premier League,Lucas Digne,Aston Villa,127.89,16.29,DF,14.9,8.884,3.01,8.908,338.5
10,ENG-Premier League,Noussair Mazraoui,Manchester Utd,135.67,16.29,DF,8.1,2.988,3.01,9.132,347.0
10,ENG-Premier League,Cole Palmer,Chelsea,133.74,16.29,MF,25.0,22.727,3.8,20.882,793.5
10,ENG-Premier League,Jack Hinshelwood,Brighton,131.37,16.29,MF,8.2,3.525,3.8,7.474,284.0
10,ENG-Premier League,Mario Lemina,Wolves,134.8,16.29,MF,19.0,11.315,3.8,5.526,210.0
10,ENG-Premier League,Mateus Fernandes,Southampton,119.78,16.29,MF,12.0,7.354,3.8,11.421,434.0
10,ENG-Premier League,Sam Morsy,Ipswich Town,108.51,16.29,MF,14.4,8.92,3.8,6.895,262.0
10,ENG-Premier League,Tim Iroegbunam,Everton,130.74,16.29,MF,4.0,0.571,3.8,2.382,90.5
10,ENG-Premier League,Ethan Nwaneri,Arsenal,146.34,16.29,FW,4.0,0.038,4.814,5.776,219.5
10,ENG-Premier League,Jacob Murphy,Newcastle Utd,147.38,16.29,FW,17.6,6.937,4.814,13.553,515.0
10,ENG-Premier League,Mohamed Salah,Liverpool,164.58,16.29,FW,24.7,18.983,4.814,27.289,1037.0
10,ENG-Premier League,Sammie Szmodics,Ipswich Town,108.51,16.29,FW,19.7,17.243,4.814,4.947,188.0
1,ESP-La Liga,Giorgi Mamardashvili,Valencia,127.45,14.48,GK,16.5,10.417,2.752,7.263,276.0
1,ESP-La Liga,Joan García,Espanyol,120.54,14.48,GK,7.6,2.696,2.752,8.934,339.5
1,ESP-La Liga,Aritz Elustondo,Real Sociedad,124.62,14.48,DF,9.3,2.012,2.588,2.776,105.5
1,ESP-La Liga,Pau Cubarsí,Barcelona,169.62,14.48,DF,7.7,2.838,2.588,5.882,223.5
1,ESP-La Liga,Ricardo Rodríguez,Betis,122.82,14.48,DF,15.6,8.23,2.588,3.434,130.5
1,ESP-La Liga,Romain Perraud,Betis,122.82,14.48,DF,4.0,2.022,2.588,7.132,271.0
1,ESP-La Liga,Scott McKenna,Las Palmas,125.49,14.48,DF,4.0,0.785,2.588,4.303,163.5
1,ESP-La Liga,Óscar de Marcos,Athletic Club,139.41,14.48,DF,13.3,8.814,2.588,5.276,200.5
1,ESP-La Liga,Adnan Januzaj,Las Palmas,125.49,14.48,MF,4.0,0.807,2.952,4.039,153.5
1,ESP-La Liga,Conor Gallagher,Atlético Madrid,148.89,14.48,MF,22.0,13.774,2.952,7.618,289.5
1,ESP-La Liga,Florian Grillitsch,Valladolid,117.53,14.48,MF,11.5,5.854,2.952,1.868,71.0
1,ESP-La Liga,José Campaña,Las Palmas,125.49,14.48,MF,4.0,0.763,2.952,4.868,185.0
1,ESP-La Liga,José Luis García Vayá,Valencia,127.45,14.48,MF,23.0,16.164,2.952,7.618,289.5
1,ESP-La Liga,Peque,Sevilla,125.39,14.48,MF,22.7,16.671,2.952,3.974,151.0
1,ESP-La Liga,Antoine Griezmann,Atlético Madrid,148.89,14.48,FW,23.9,18.195,4.635,12.868,489.0
1,ESP-La Liga,Iago Aspas,Celta Vigo,134.05,14.48,FW,18.2,15.197,4.635,10.763,409.0
1,ESP-La Liga,Miguel,Leganés,103.87,14.48,FW,17.1,8.57,4.635,5.355,203.5
1,ESP-La Liga,Robert Lewandowski,Barcelona,169.62,14.48,FW,22.4,18.389,4.635,19.118,726.5
2,ESP-La Liga,Jan Oblak,Atlético Madrid,148.89,14.48,GK,17.0,9.229,2.752,9.395,357.0
2,ESP-La Liga,Thibaut Courtois,Real Madrid,157.26,14.48,GK,4.0,1.638,2.752,7.316,278.0
2,ESP-La Liga,Allan Nyom,Getafe,116.18,14.48,DF,7.0,3.84,2.588,3.342,127.0
2,ESP-La Liga,Aridane Hernández,Rayo Vallecano,131.36,14.48,DF,8.4,2.975,2.588,2.553,97.0
2,ESP-La Liga,Eric García,Barcelona,169.62,14.48,DF,19.7,10.963,2.588,5.645,214.5
2,ESP-La Liga,Fernando Calero,Espanyol,120.54,14.48,DF,11.0,4.46,2.588,3.0,114.0
2,ESP-La Liga,Marcos Llorente,Atlético Madrid,148.89,14.48,DF,21.9,10.832,2.588,9.987,379.5
2,ESP-La Liga,Willy Kambwala,Villarreal,142.16,14.48,DF,4.0,0.606,2.588,2.658,101.0
2,ESP-La Liga,Denis Suárez,Villarreal,142.16,14.48,MF,4.0,0.262,2.952,3.5,133.0
2,ESP-La Liga,Gerard Gumbau,Rayo Vallecano,131.36,14.48,MF,25.0,11.731,2.952,2.987,113.5
2,ESP-La Liga,Luka Modrić,Real Madrid,157.26,14.48,MF,8.8,7.738,2.952,8.355,317.5
2,ESP-La Liga,Mario Martín,Valladolid,117.53,14.48,MF,4.0,0.069,2.952,5.237,199.0
2,ESP-La Liga,Saúl Ñíguez,Sevilla,125.39,14.48,MF,11.3,4.342,2.952,6.408,243.5
2,ESP-La Liga,William Carvalho,Betis,122.82,14.48,MF,12.3,3.088,2.952,1.566,59.5
2,ESP-La Liga,Alexander Sørloth,Atlético Madrid,148.89,14.48,FW,25.0,20.209,4.635,13.658,519.0
2,ESP-La Liga,Iago Aspas,Celta Vigo,134.05,14.48,FW,18.2,15.197,4.635,10.763,409.0
2,ESP-La Liga,Kylian Mbappé,Real Madrid,157.26,14.48,FW,25.0,23.7,4.635,23.487,892.5
2,ESP-La Liga,Robert Lewandowski,Barcelona,169.62,14.48,FW,22.4,18.389,4.635,19.118,726.5
3,ESP-La Liga,Dominik Greif,Mallorca,122.99,14.48,GK,4.0,0.475,2.752,6.303,239.5
3,ESP-La Liga,Jan Oblak,Atlético Madrid,148.89,14.48,GK,17.0,9.229,2.752,9.395,357.0
3,ESP-La Liga,Héctor Fort,Barcelona,169.62,14.48,DF,4.0,1.2,2.588,1.882,71.5
3,ESP-La Liga,Jesus Vazquez,Valencia,127.45,14.48,DF,10.2,2.85,2.588,2.987,113.5
3,ESP-La Liga,Marc Bartra,Betis,122.82,14.48,DF,4.0,0.538,2.588,6.408,243.5
3,ESP-La Liga,Pablo Maffeo,Mallorca,122.99,14.48,DF,11.4,5.112,2.588,7.921,301.0
3,ESP-La Liga,Yuri Berchiche,Athletic Club,139.41,14.48,DF,13.2,7.585,2.588,6.039,229.5
3,ESP-La Liga,Álex Muñoz,Las Palmas,125.49,14.48,DF,15.2,5.818,2.588,5.829,221.5
3,ESP-La Liga,Alex Baena,Villarreal,142.16,14.48,MF,23.6,13.042,2.952,13.697,520.5
3,ESP-La Liga,Conor Gallagher,Atlético Madrid,148.89,14.48,MF,22.0,13.774,2.952,7.618,289.5
3,ESP-La Liga,Darko Brašanac,Leganés,103.87,14.48,MF,7.5,1.348,2.952,4.0,152.0
3,ESP-La Liga,Donny van de Beek,Girona,128.84,14.48,MF,4.0,0.785,2.952,5.026,191.0
3,ESP-La Liga,Isco,Betis,122.82,14.48,MF,23.0,14.866,2.952,11.895,452.0
3,ESP-La Liga,Luka Modrić,Real Madrid,157.26,14.48,MF,8.8,7.738,2.952,8.355,317.5
3,ESP-La Liga,Iago Aspas,Celta Vigo,134.05,14.48,FW,18.2,15.197,4.635,10.763,409.0
3,ESP-La Liga,Kylian Mbappé,Real Madrid,157.26,14.48,FW,25.0,23.7,4.635,23.487,892.5
3,ESP-La Liga,Lamine Yamal,Barcelona,169.62,14.48,FW,16.1,12.586,4.635,17.987,683.5
3,ESP-La Liga,Viktor Tsyhankov,Girona,128.84,14.48,FW,20.9,12.752,4.635,8.605,327.0
4,ESP-La Liga,Giorgi Mamardashvili,Valencia,127.45,14.48,GK,16.5,10.417,2.752,7.263,276.0
4,ESP-La Liga,Paulo Gazzaniga,Girona,128.84,14.48,GK,16.2,9.892,2.752,7.566,287.5
4,ESP-La Liga,Aitor Paredes,Athletic Club,139.41,14.48,DF,15.8,5.443,2.588,4.934,187.5
4,ESP-La Liga,Aitor Ruibal,Betis,122.82,14.48,DF,15.2,5.222,2.588,5.789,220.0
4,ESP-La Liga,Copete,Mallorca,122.99,14.48,DF,9.8,4.238,2.588,3.368,128.0
4,ESP-La Liga,Juan Cruz Armada,Osasuna,130.0,14.48,DF,9.4,3.6,2.588,3.408,129.5
4,ESP-La Liga,Miguel Gutiérrez,Girona,128.84,14.48,DF,18.9,10.514,2.588,9.276,352.5
